,$,private,public,rpar,lpar,id,dot,semi,colon,float,int,assign,rsqbr,lsqbr,return,write,read,while,else,then,if,rcurbr,lcurbr,minus,plus,void,comma,geq,leq,gt,lt,neq,eq,isa,and,div,mult,local,implementation,self,constructor,eqgt,function,not,floatlit,intlit,class,attribute,or
SELECTORLIST0,,,,,SELECTORLIST0 → &epsilon,,SELECTORLIST0 → TYPESELECTOR SELECTORLIST0,,,,,SELECTORLIST0 → &epsilon,,SELECTORLIST0 → TYPESELECTOR SELECTORLIST0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYPESELECTOR,,,,,,,TYPESELECTOR → dot id,,,,,,,TYPESELECTOR → lsqbr ARITHEXPR rsqbr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATEMENTSUFFIX0,,,,,STATEMENTSUFFIX0 → lpar APARAMS rpar semi,,,,,,,STATEMENTSUFFIX0 → assign EXPR semi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TERM,,,,,TERM → FACTOR RIGHTRECTERM,TERM → FACTOR RIGHTRECTERM,,,,,,,,,,,,,,,,,,TERM → FACTOR RIGHTRECTERM,TERM → FACTOR RIGHTRECTERM,,,,,,,,,,,,,,,TERM → FACTOR RIGHTRECTERM,,,,TERM → FACTOR RIGHTRECTERM,TERM → FACTOR RIGHTRECTERM,TERM → FACTOR RIGHTRECTERM,,,
TYPE,,,,,,TYPE → id,,,,TYPE → float,TYPE → int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARDECL,,,,,,VARDECL → id colon TYPE REPTVARDECL3 semi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARIABLE,,,,,,VARIABLE → IDORSELF VARIABLE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VARIABLE → IDORSELF VARIABLE2,,,,,,,,,
VARIABLE2,,,,VARIABLE2 → REPTIDNEST1 REPTVARIABLE,VARIABLE2 → lpar APARAMS rpar VARIDNEST,,VARIABLE2 → REPTIDNEST1 REPTVARIABLE,,,,,,,VARIABLE2 → REPTIDNEST1 REPTVARIABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REPTVARIABLE,,,,REPTVARIABLE → &epsilon,,,REPTVARIABLE → VARIDNEST REPTVARIABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARIDNEST,,,,,,,VARIDNEST → dot id VARIDNEST2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARIDNEST2,,,,VARIDNEST2 → REPTIDNEST1,VARIDNEST2 → lpar APARAMS rpar VARIDNEST,,VARIDNEST2 → REPTIDNEST1,,,,,,,VARIDNEST2 → REPTIDNEST1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISIBILITY,,VISIBILITY → private,VISIBILITY → public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
